Folder;Name;Latitude;Longitude;Shift;Address;City;Province;Comment;Ida/vuelta;Hora1;Hora2;Hora3;Hora4
Rutas_3;Ruta 1_3;41,6666687;-0,8238801;;Avd. Real Zaragoza nº 29;Zaragoza;Zaragoza, España;nº 29 - Pd. Bus;Ida;04:43;12:40;20:43;06:40
Rutas_3;Ruta 1_3;41,6670119;-0,8318499;;Avd. Santa Isabel  ;Zaragoza;Zaragoza, España;Plaza Serrano Bergés - Pd. Bus;Ida;04:44;12:41;20:44;06:41
Rutas_3;Ruta 1_3;41,6698563;-0,839224;;Avd. Santa Isabel  ;Zaragoza;Zaragoza, España;Esq. Avd. Industria - Gasolinera - Pd. Bus;Ida;04:46;12:43;20:46;06:43
Rutas_3;Ruta 1_3;41,6699345;-0,8463302;;Avd. Cataluña  ;Zaragoza;Zaragoza, España;CAF - Pd. Bus (?);Ida;04:48;12:45;20:48;06:45
Rutas_3;Ruta 1_3;41,667657;-0,8551449;;Avd. Cataluña nº 189 ;Zaragoza;Zaragoza, España;Los Charros;Ida;04:50;12:47;20:50;06:47
Rutas_3;Ruta 1_3;41,6637028;-0,8612384;;Avd. Cataluña  nº 103;Zaragoza;Zaragoza, España;Frente Felisa Galé;Ida;04:52;12:49;20:52;06:49
Rutas_3;Ruta 1_3;41,6629175;-0,8662946;;Marqués de la Cadena ;Zaragoza;Zaragoza, España;Frente nº 57 - Pd. Bus CAN;Ida;04:53;12:51;20:53;06:51
Rutas_3;Ruta 1_3;41,666861;-0,8714217;;Av. San Juan de la Peña nº 90;Zaragoza;Zaragoza, España;Hierros Alfonso - Pd. Bus;Ida;04:54;12:52;20:54;06:52
Rutas_3;Ruta 1_3;41,675329;-0,870227;;San Juan de la Peña nº 182 ;Zaragoza;Zaragoza, España;Pd. Bus;Ida;04:55;12:53;20:55;06:53
Rutas_3;Ruta 1_3;41,66857;-0,876678;;Salvador Allende nº 67 ;Zaragoza;Zaragoza, España;Pd. Bus;Ida;04:56;12:54;20:56;06:54
Rutas_3;Ruta 1_3;41,6675533;-0,8766818;;Salvador Allende  ;Zaragoza;Zaragoza, España;Esq. Valle de Broto - Pd. Bus;Ida;04:57;12:55;20:57;06:55
Rutas_3;Ruta 1_3;41,6675145;-0,8869326;;María Zambrano  ;Zaragoza;Zaragoza, España;León Felipe - Pd. Bus;Ida;04:58;12:56;20:58;06:56
Rutas_3;Ruta 1_3;41,6717098;-0,8893981;;María Zambrano  ;Zaragoza;Zaragoza, España;Ildefonso Manuel Gil - Pd. Bus;Ida;04:59;12:57;20:59;06:57
Rutas_3;Ruta 1_3;41,6773494;-0,8893384;;María Zambrano  ;Zaragoza;Zaragoza, España;Esq. Pablo Iglesias - Pd. Bus;Ida;05:00;12:58;21:00;06:58
Rutas_3;Ruta 1_3;41,749628;-1,175514;;Pol. Ind Entrerrios ;Figueruelas;Zaragoza, España;Opel Puerta 5;Ida;05:30;13:30;21:30;07:30
Rutas_3;Ruta 1_3;41,749628;-1,175514;;Pol. Ind Entrerrios ;Figueruelas;Zaragoza, España;Opel Puerta 5;Vuelta;;;;
Rutas_3;Ruta 1_3;41,6760468;-0,890922;;Luis Legaz  ;Zaragoza;Zaragoza, España;Esq. Gómez Avellaneda;Vuelta;;;;
Rutas_3;Ruta 1_3;41,6704221;-0,8906701;;Gómez de Avellaneda  ;Zaragoza;Zaragoza, España;Esq. Saiz de otero - Pd. Bus;Vuelta;;;;
Rutas_3;Ruta 1_3;41,624888;-0,876361;;Gómez Avellaneda nº 23 ;Zaragoza;Zaragoza, España;Pd. Bus;Vuelta;;;;
